 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 074 Poliomielite
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"26 Pernambuco";100764;190263;205333;194554;201163;196252;186398;171659;161937;172625;164302;166528;160132;158743;154858;154009;143483;155417;141918;142876;143739;154539;129654;121042;122928;73647;4068763
"27 Alagoas";-;37786;28625;33319;40546;57632;64177;57381;66037;68233;62209;62678;59742;54180;52764;58830;55727;50258;50038;52971;48992;49472;41454;42788;45664;28377;1269880
"28 Sergipe";-;36212;34910;37269;37673;41251;41485;40441;38291;39757;38439;36318;36879;38908;36606;37100;35044;36283;33984;34720;32147;32066;26905;27162;28703;18117;876670
"29 Bahia";220990;138413;162088;173392;207439;217784;251056;287171;249000;248469;241737;250978;241648;232437;218189;222669;208801;211820;202999;206888;197115;193804;144177;157531;153801;89505;5329901
"31 Minas Gerais";-;-;-;243283;265305;303920;352352;316183;293564;284340;287340;292643;282084;273978;260047;265414;253366;260449;248823;268316;250745;251113;235424;230667;241515;150678;6111549
"32 Espírito Santo";42823;43632;48953;53174;66015;82737;63352;62695;63269;63836;59736;58792;57852;55593;54226;55226;53039;55711;54000;53171;53483;53760;50436;45940;48359;30209;1430019
"33 Rio de Janeiro";-;211655;182313;222365;233775;235078;243444;227932;259159;258845;248893;265565;227051;243055;233739;236915;231439;242886;209790;220297;224814;239545;210018;207660;190527;72481;5579241
"35 São Paulo";-;645143;674165;643143;691389;698365;702565;652826;597184;599889;606666;599478;602946;587266;581223;592976;578068;600168;577072;603850;590235;608995;524536;545593;546801;321065;14971607
"41 Paraná";-;134528;176974;178827;178566;174272;187300;176895;169527;162644;159099;159890;158957;151523;145522;149707;148567;152898;144370;160010;152038;151676;139974;143474;136007;91170;3884415
"42 Santa Catarina";92140;103338;91504;88088;84974;89362;97263;93090;84956;84457;85707;85835;85546;85235;82542;85567;82456;84429;83417;85543;86254;91982;85372;83999;87036;58371;2248463
"43 Rio Grande do Sul";-;180572;152530;154346;149235;163749;172072;157621;145203;143492;145450;143738;140058;133253;126127;127331;123408;127058;119476;138103;132583;126057;121051;122683;118883;78896;3442975
"50 Mato Grosso do Sul";-;-;31546;33022;39241;41443;45601;44591;45659;42024;41345;41637;41335;40485;39933;42716;40118;38467;41181;49720;54960;50903;41303;40127;40311;25394;993062
"51 Mato Grosso";33163;34032;40989;52233;55999;58201;66803;58840;56929;56309;56040;59210;54276;53211;52056;52185;48664;50028;48224;51754;52520;54467;51197;47764;48369;30067;1323530
"52 Goiás";43728;80490;78502;64129;87744;96888;101467;93959;93205;95869;97861;95199;96750;95673;91187;91999;87946;93671;88325;96587;91043;90823;81874;83505;80976;51887;2251287
"53 Distrito Federal";-;-;45843;48029;48687;50525;47765;45724;44532;44694;45945;44364;44907;44236;43812;45042;41380;37989;41142;48761;41037;33347;61099;39505;36114;24183;1048662
"Total";951598;2341912;2522390;2827700;3046858;3221283;3424919;3327803;3212628;3209756;3152042;3188367;3098951;3047976;2939834;2985774;2861066;2918479;2780576;2934278;2810642;2852556;2513077;2508194;2516533;1506818;72702010
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

